portal,all,no_license,prop
africaopendata.org,932,23,0
bistrotdepays.opendatasoft.com,1,0,0
br.ckan.net,36,3,0
bronx.lehman.cuny.edu,239,0,0
cookcounty.socrata.com,245,0,0
cz.ckan.net,7,0,0
dados.gov.br,22,0,0
dadosabertos.senado.gov.br,37,37,1
data.acgov.org,54,0,0
data.austintexas.gov,73,0,0
data.baltimorecity.gov,75,0,0
data.buenosaires.gob.ar,68,0,0
data.cityofboston.gov,40,0,0
data.cityofchicago.org,278,0,0
data.cityofmadison.com,41,0,0
data.cityofnewyork.us,838,0,0
data.cityofsantacruz.com,52,0,0
data.cms.gov,48,0,0
data.codeforhouston.com,220,0,0
data.colorado.gov,16,0,0
data.consumerfinance.gov,6,0,0
data.edmonton.ca,200,0,0
data.energystar.gov,39,0,0
data.gov.sk,204,0,0
data.gov.uk,2915,325,0
data.govloop.com,72,0,0
data.hawaii.gov,282,0,0
data.honolulu.gov,18,0,0
data.iledefrance.fr,264,0,0
data.illinois.gov,368,0,0
data.kingcounty.gov,158,0,0
data.klp.org.in,4,0,0
data.maryland.gov,157,0,0
data.medicare.gov,81,0,0
data.mo.gov,121,0,0
data.montgomerycountymd.gov,31,0,0
data.nfpa.org,7,0,0
data.nola.gov,28,0,0
data.ny.gov,205,0,0
data.oaklandnet.com,29,0,0
data.ok.gov,165,0,0
data.opencolorado.org,770,0,0
data.openpolice.ru,75,0,0
data.openva.com,26,0,0
data.oregon.gov,318,0,0
data.ottawa.ca,82,82,1
data.raleighnc.gov,103,0,0
data.redmond.gov,4,0,0
data.sa.gov.au,230,0,0
data.seattle.gov,90,0,0
data.sfgov.org,134,0,0
data.slcgov.com,21,0,0
data.snostat.org,10,0,0
data.somervillema.gov,14,0,0
data.sunlightlabs.com,300,0,0
data.taxpayer.net,40,0,0
data.undp.org,3,0,0
data.wa.gov,108,0,0
data.weatherfordtx.gov,28,0,0
data.wellingtonfl.gov,18,0,0
datacatalog.cookcountyil.gov,245,0,0
datacatalogs.org,362,362,1
dataratp.opendatasoft.com,6,0,0
dati.lombardia.it,87,0,0
dati.toscana.it,20,0,0
dati.trentino.it,101,0,0
datos.codeandomexico.org,26,0,0
deleon.socrata.com,4,0,0
electionsdata.kingcounty.gov,13,0,0
explore.data.gov,140,0,0
finances.worldbank.org,60,0,0
gettingpastgo.socrata.com,9,0,0
grandnancy.opendatasoft.com,47,0,0
health.data.ny.gov,34,0,0
healthmeasures.aspe.hhs.gov,385,0,0
iatiregistry.org,3000,3000,1
ie.ckan.net,273,3,0
info.samhsa.gov,28,0,0
iranhumanrights.socrata.com,8,0,0
it.ckan.net,263,158,0
nmfs.socrata.com,13,0,0
opendata.aragon.es,450,6,0
opendata.comune.bari.it,33,0,0
opendata.go.ke,237,0,0
opendata.paris.fr.opendatasoft.com,93,16,0
parisdata.opendatasoft.com,93,16,0
pod.opendatasoft.com,1,0,0
public.opendatasoft.com,295,25,0
publicdata.eu,24740,5710,0
rs.ckan.net,167,0,0
scisf.opendatasoft.com,70,0,0
thedatahub.kr,3922,1929,0
tourisme04.opendatasoft.com,36,0,0
tourisme62.opendatasoft.com,30,0,0
www.data.act.gov.au,37,0,0
www.datagm.org.uk,295,1,0
www.daten.rlp.de,1840,1840,1
www.metrochicagodata.org,1,0,0
www.nosdonnees.fr,188,14,0
www.opendata-hro.de,102,0,0
www.opendata.provincia.roma.it,49,0,0
www.opendatanyc.com,25,0,0
